Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"0402 0603 0805 1206 SMD Ceramic Capacitor Assorted Kit 1pF - 10uF 100PF 10NF 100NF 0.47UF 1UF Chip Capacitance Set (0805 320PCS)","Keep those components nice and powered",1,4.55,"https://www.aliexpress.com/i/1005010516436707.html?tt=CPS_NORMAL&af=1010595&afref=https%3A%2F%2Fc2.account.push4extension.com%2F&cv=47843","Aliexpress"
"660pcs 0603 0805 1206 0402 0201 1% SMD Chip Resistor Assorted Kit 1R - 1M ohm 33valuesX20pcs Resistance Sample Set (0805 33valuesX20PCS)","Resistors for the board",1,3.59,"https://www.aliexpress.com/item/1005009735103526.html?algo_exp_id=6304570f-efe1-4c28-9e0e-391cf56b0052-4&pdp_ext_f=%7B%22order%22%3A%221277%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009735103526%7C_p_origin_prod%3A","Aliexpress"
"100pcs/lot 1N4148W T4 BAV21W T3 SOD-123 1N4148WS BAV21WS SOD-323 1N4148WT SOD-523 1N4148 BAV21 BAV21W SMD Switching Diodes (1N4148WS T4 SOD-323)","Protect that buzzer!",1,3.42,"https://www.aliexpress.com/item/1005007160563285.html?algo_exp_id=7590060d-43de-4065-8096-9c8b9541daf8-0&pdp_ext_f=%7B%22order%22%3A%221160%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007160563285%7C_p_origin_prod%3A","Aliexpress"
"100PCS S8050 S8550 SS8050 SS8550 J3Y 2TY Y1 Y2 SOT-23 TO-92 500mA 0.5A 1.5A 25V 40V NPN PNP MMBT 8050 8550 SMD DIP Transistor (SS8050 Y1 SOT23)","Component",1,1.81,"https://www.aliexpress.com/item/1005005647370601.html?algo_exp_id=66f3ad67-3588-421d-9248-5c4c2f7d8702-4&pdp_ext_f=%7B%22order%22%3A%2269%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005647370601%7C_p_origin_prod%3A","Aliexpress"
"（10/pieces） New Original DRV8833PWPR DRV8833 TSSOP16 Motor driver chip In Stock","To control the motors",1,2.85,"https://www.aliexpress.com/item/1005008641599688.html?aem_p4p_detail=202603121715407207124518833050000318294&algo_exp_id=d432bddd-58cd-4b33-9a21-4958d8439844-7&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008641599688%7C_p_origin_prod%3A&search_p4p_id=202603121715407207124518833050000318294_2","Aliexpress"
"103450 3.7V 2000mAh Polymer Lithium Rechargeable Battery jst PH 2.0mm 2pin plug for Camera GPS navigator MP5 Bluetooth Headset","To power the box",1,5.76,"https://www.aliexpress.com/item/1005009590723370.html?algo_exp_id=bf502112-b07d-4198-bc1e-8227f42efe73-0&pdp_ext_f=%7B%22order%22%3A%222341%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009590723370%7C_p_origin_prod%3A","Aliexpress"
"GA12-N20 DC 3V 6V 12V Micro Metal Gear Motor Gear Wheel Gear Motor 30RPM 50RPM 60RPM 100RPM 150RPM 200RPM 300RPM 600RPM 1000RPM","Moving the box",2,8.32,"https://www.aliexpress.com/item/1005005699205905.html?algo_exp_id=7362db8d-ce3d-49a4-ae56-3eb4ee3a8aae-1&pdp_ext_f=%7B%22order%22%3A%2210185%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005699205905%7C_p_origin_prod%3A","Aliexpress"
"1-10Pcs SG90 9G Micro Servo For RC Airplanes Fixed Wing Airplane Model Telecontrol Airplane Toy Mini Servo Motor 450 Helicopter","Pushing the servo",1,4.10,"https://www.aliexpress.com/item/1005007173214082.html?afSmartRedirect=y&tt=CPS_NORMAL&af=1010595&afref=https%3A%2F%2Fc2.account.push4extension.com%2F&cv=47843&afSmartRedirect=y","Aliexpress"
"5PCS/Lot Passive Buzzer AC 12MM*8.5MM 12085 16R Resistance 3V 5V 9V 12V In Common Use New Wholesale","Make fun sounds",1,1.80,"https://www.aliexpress.com/item/32950836255.html?algo_exp_id=ca3c54b2-3470-4f31-bccb-765d929a6286-1&pdp_ext_f=%7B%22order%22%3A%22190%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32950836255%7C_p_origin_prod%3A","Aliexpress"
"10pcs ON-OFF-ON / ON-ON Miniature Toggle Switches Mini MTS-102 103 202 203 Power Button Switch 3pin 6pin","The main switch",1,4.50,"https://www.aliexpress.com/i/1005008778471415.html?af=1010595&afref=https%3A%2F%2Fc2.account.push4extension.com%2F&cv=47843","Aliexpress"
"VL6180/VL53L0X/VL53L1X Time of Flight (ToF) Laser Ranging Sensor Module TOF050C TOF200C TOF400C 50CM/2M/4M IIC For Arduino STM32","Detecting hands",2,4.93,"https://www.aliexpress.com/item/1005006148761687.html?afSmartRedirect=y&tt=CPS_NORMAL&af=1010595&afref=https%3A%2F%2Fc2.account.push4extension.com%2F&cv=47843&afSmartRedirect=y","Aliexpress"
"1-10pcs Original 0.96 inch oled IIC Serial White OLED Display Module 128X64 I2C SSD1306 12864 LCD Screen Board For Arduino","For extra fun >:) It's a screen.",1,3.65,"https://www.aliexpress.com/item/1005006141235306.html?afSmartRedirect=y&tt=CPS_NORMAL&af=1010595&afref=https%3A%2F%2Fc2.account.push4extension.com%2F&cv=47843&afSmartRedirect=y#nav-specification","Aliexpress"
"ESP32-S3-Dev-KitC-1 ESP32-S3-n16r8 n8r2 WiFi Bluetooth-compatible BLE 5.0 Mesh Development Board ESP32 Wireless Module","The brains of the project",1,8.89,"https://www.aliexpress.com/item/1005005481618843.html?afTraceInfo=1005005481618843__pc__c_ppc_item_bridge_pc_main__YlERHUT__1772823584525","Aliexpress"
